post_id,game_id,relevanceScore,containsSpoiler,taggedAt
5d91856a-bbac-48a7-874e-99c11b6b8c21,17857,0.31,False,2026-01-28
db20eb8e-18ea-4dc9-b2c1-9a961f13924a,3427,0.57,False,2025-09-25
42737775-6f2a-45af-b493-67f95056b604,4101,0.41,False,2025-07-29
c2bf9474-e0f3-487b-b056-658e2d4af665,42187,0.18,True,2025-12-22
7bd4d30d-3e1c-4b87-bd74-72041ede9375,4161,0.48,False,2025-12-23
1542d2aa-c3fc-41cd-bbd8-eefc059e54fe,397477,0.66,False,2025-06-02
36ab014a-fbb2-4002-942d-4d8c84c6464a,45969,0.43,False,2025-07-03
ad5af9d8-473a-418d-86b3-7af0c1feb9dc,18183,0.95,False,2025-12-05
2189ea14-dbde-4403-95d9-90bd73214efb,3287,0.32,False,2025-10-21
0a550026-f8f1-4ae9-92d7-45ad8cd7cb5d,28110,0.88,False,2025-10-19
0ec7d9a6-7c38-4158-83b0-570df6e0e1fe,13856,0.11,False,2026-03-29
40c8ec92-444e-4843-b4ed-d0e2676007d8,58764,0.13,False,2025-11-19
6b933f98-3d81-4830-8bbd-3e8848aaafbc,3841,0.42,False,2025-11-15
6115073f-b13b-4eac-b98c-0ab712d53cfc,1090,0.63,False,2025-12-22
e9a2e664-1c57-4593-b782-325eaaf4f317,2213,0.69,False,2025-08-23
4b090abd-48f7-4d53-a201-95ee6525fa28,10419,0.1,False,2026-01-03
02116666-ff2e-42c3-ab2c-ae6763fef59a,13247,0.76,False,2026-04-02
babf087d-97a8-4e5f-ac39-73b416776b40,7381,0.6,False,2025-11-29
55738b84-45aa-4587-b065-06d7289a7afa,3290,0.7,True,2025-07-18
1f8af2ce-d77c-4988-acc4-c070488ea030,4280,0.2,False,2025-06-01
1fa61a9c-d44d-40c4-8c79-e39f6d0c624e,10767,0.38,False,2025-10-18
88b23109-21d4-4e44-9300-ef17f59b0cca,2454,0.8,False,2026-01-30
ad24254f-7032-4670-b091-59f18abb6488,998,0.75,False,2025-09-06
7899428f-c92b-46f1-96f1-4ccf6b6ab653,11142,0.11,False,2025-06-12
b0c4cd01-c309-407e-a7e3-a5f6d8112e7f,3561,0.73,False,2025-06-10
e29a2fdb-dcf2-42e2-88d5-10a0cbc3137c,327999,0.53,False,2025-09-05
bd589160-6cce-45f3-ba0d-edee5975c853,324997,0.41,False,2025-08-17
95a10119-c354-4b18-bdbd-22e04e034ab9,4179,0.92,False,2025-09-30
86938039-9e74-40dd-b9ff-3e3623494770,10533,0.6,False,2025-08-09
5d418b7c-5615-45e6-b55d-def0416267da,2235,0.4,False,2025-09-29
e0b87a85-2636-4958-b666-6282f8b58528,58654,0.63,True,2026-02-16
3e57c48a-f1e2-4ef6-80a4-4a3db85d3083,15642,0.13,False,2026-03-27
c63e77e4-4ba6-4081-8be4-45eb6bdf0aa0,49,0.3,False,2025-11-09
dd2cbcfc-f328-48ef-adfe-2d7d618476dc,616765,0.48,False,2026-03-24
a5f0ba55-2287-4bc0-9a90-2d768a4818c5,2462,0.43,False,2025-08-25
14f86760-06e4-4baa-9a55-f1e1688e7352,2722,0.66,False,2026-02-19
890ec773-771b-4cd5-93ec-bac2e9079343,14690,0.5,False,2025-08-11
428c38bd-76a8-464d-8426-b8d4f73f774c,11052,0.36,False,2026-01-08
0bda0cc7-4f91-40a5-9bad-7d2bcde81745,22571,0.59,False,2025-12-23
d13e8f0c-4063-4e76-a757-961abfbbf636,3371,0.32,False,2025-12-18
a80f8968-c455-4086-95b3-e7cbf981cbe7,248521,0.13,True,2025-12-26
144e4faf-3f76-4cc0-95e5-be79626fd060,19429,0.13,False,2026-01-05
e6607594-5e5e-41ca-b554-d0d7890458ce,39,0.72,False,2025-05-20
a19ad6a5-c37c-4b48-8118-7c35def887f2,18241,0.92,False,2025-08-20
36ff4d34-f369-4287-851d-ad3f8694bff9,480,0.37,False,2025-11-29
de13d8ee-d8e3-465e-ae97-12ebaa6b71a3,6879,0.57,False,2025-08-30
90481609-7199-4e4b-964a-d2b9746885bd,11686,0.58,False,2025-06-19
be6ab904-c6cc-4327-b990-ab5d549b61c5,18183,0.5,False,2025-04-15
a9a4669c-236c-40f6-8c93-9dd4cea18f26,4012,0.57,False,2026-01-01
52fb3c9d-bf2d-4e89-99ab-f77798706524,3554,0.57,True,2026-01-06
055c376b-ca20-4c23-bdde-284d4ddf123c,3346,0.62,False,2025-07-01
b7eab9e5-c6f4-4b8c-ada3-3d61b5ed502e,2572,0.14,False,2025-07-13
684517dc-ae4d-4884-9cf4-d0fe7c6dcd10,295021,0.72,True,2025-09-27
9ca4062e-bb2f-472c-ac92-da19d8f785f1,58812,0.49,False,2026-01-31
c74714c3-5170-4f9b-a557-49edd74959b8,50734,0.62,False,2025-06-08
e488d5dc-b435-4f29-b55f-382ad0fe6d6d,2553,0.28,False,2026-03-24
fa750e26-7278-422e-b32e-62b59d8f44f2,58494,0.44,False,2025-07-11
7da95169-2cfa-40c9-b339-1e4c2d851ca9,2873,0.34,False,2025-06-24
af11ac0b-f662-4e59-a091-3703c347126f,4729,0.25,False,2025-08-18
74a6a89c-7a50-4519-8123-d1b50e04b560,685577,0.32,False,2025-08-12
2fcd791d-942e-41ee-a848-3e2dcaff5c1e,4013,0.57,False,2026-03-18
3a4c9b7c-394d-4231-989d-6333cb0d1308,23585,0.55,False,2025-05-04
d8fbc8f1-f1f8-4c9a-a377-e6431004a088,10310,0.82,False,2025-06-12
8287ca98-c126-4b7d-b05c-2c35e80edd1a,1169,0.2,False,2025-04-18
3fa82b79-1f14-4344-a7d3-e94d42abab65,3766,0.86,False,2025-10-24
d05412f4-c61a-4d7a-89e6-cfb89379abb4,382,0.58,False,2026-01-18
94737e91-56d7-4dc3-a429-dd44eaf30349,18614,0.91,False,2025-10-25
5682a97b-44e0-4292-adb1-a26812d0854c,3912,0.95,False,2026-03-06
1b258eb8-dcaf-445b-88b9-e7c531b04fbf,17885,0.43,False,2025-11-25
c09285ef-c1dd-4771-aa31-210b0df1c1de,10428,0.37,True,2025-05-22
58e7cadc-10cb-41b5-90d7-182c974d305d,3696,0.4,False,2026-01-26
d51e858d-f3f4-40e7-9334-c1bee002cecc,3449,0.83,False,2025-06-07
e3a9c0ff-2813-46c3-9339-93d526ce544a,3287,0.77,False,2025-05-06
