post_id,tag_id,taggedAt,taggedBy,isAutoTagged
f0924e08-cccb-4a7b-83b8-40a074fd38d0,9639629c-b581-4246-b1f2-df7fb09947ea,2025-04-10,icraig_8637,True
9a2ffd9e-e43b-4990-a3a3-af93b1aae6b4,94ac061a-f2e9-4a6c-baa0-c7c61cfae548,2025-06-04,molly71_2348,False
aad34def-a545-4775-abaa-93646fff32b9,470ffe92-9d05-4cd9-b6ef-76a8b346d06e,2025-05-05,johnnewman_9985,False
4eb81cfe-96d0-460b-a993-bfc1f4b2f116,ab7f63e0-cffd-49cd-868a-9b2307fd9c34,2025-08-18,nicholasgallagher_8889,False
e39113f2-f2d2-49cb-8062-3f8f18ac3022,06a5f5e1-587d-48fd-9fcf-d912764dd08a,2025-08-16,lopezdonald_4942,False
cee6a1a7-e2fc-4769-845c-9eb0f143702f,da14f893-3ea6-4ea4-9b08-5997f57028df,2025-11-15,gail91_8353,True
7a281ef1-0d0a-4a99-82a9-ed68793444e2,77152d4a-5bc9-4234-b3f5-4a2756885c17,2025-08-21,system,False
848c0490-e955-4a16-9873-b5e650c3a483,5f832659-624a-40ea-a373-5d4a2168f99b,2025-06-19,aprilfoster_3699,False
596c505a-f101-4a61-8d07-754f0309d967,d240e9d9-49c3-4330-8626-183b9a56e0bf,2025-06-07,ogreer_5195,True
56e19814-0ce3-45b7-bedd-fbfab25a99d6,b13564ef-6660-4f45-a425-ae5c7a27e92c,2025-06-29,system,False
0cc05440-cdcb-42de-88ae-9979a4306c3f,936f4f8b-0824-4e06-85ed-8a32ce34f914,2026-03-24,lopezglenn_7327,False
bb97c32b-78ad-4588-9698-d30631c05930,f6e196c5-2b12-4cbb-b06e-bce142f678c4,2026-02-08,katie45_3073,False
8fee02cf-ce48-4ffa-8aad-dfa2375b6f02,f6e196c5-2b12-4cbb-b06e-bce142f678c4,2025-11-24,system,False
3d44a921-aa4e-4cc0-a851-3e43b4e9eeac,81a0c5b8-0336-4fba-9b49-532212a15bfa,2026-03-10,system,True
2bc18c42-73b9-4fc1-8f9e-f8613ed2e961,ffeceefa-80ba-42c3-bbf3-8a196aec9ca7,2025-12-07,system,False
8b5080d2-6b24-463d-a849-2dd7e85fe1db,0ed82ccd-c035-4b48-b66c-83fd1bf59f33,2026-02-28,carolcarney_9883,False
bce80fc2-b082-4175-9b4a-ba599bbfa4c2,5548f7b1-3909-4ff5-979a-0c108b8ddeb8,2025-07-07,kmullins_3202,True
fa750e26-7278-422e-b32e-62b59d8f44f2,e7c28764-efd1-4785-a77d-ec81100f2fbb,2026-04-07,clarkmichael_8000,True
05ff260b-5624-4af1-bc0b-3bdec321c8ef,9c8338e8-8830-4e30-8407-698bd76a6557,2025-05-19,margaret44_327,True
0c3cbe5e-3100-4b34-a436-f5de43e385da,9978c45b-b631-4c94-940d-27349b9bf1f6,2025-08-17,michaelhardin_9116,False
2f829d60-1122-4558-ad72-cdf1ee1d038d,c25311f5-8636-41f7-9880-c0df64a8b6e8,2025-11-26,system,True
81acb86c-0ebe-46d2-ac3d-780f8084db70,78787302-e40f-4a2c-9d8e-2e6852c358fb,2026-01-07,system,False
0bf50771-aa3f-490d-9ebe-f44fdda909ef,026339c5-c149-4991-a0fa-f93e68046a02,2025-12-21,joseph70_2864,False
244d6292-a24d-4a45-acca-64fec5c756e4,7461fc10-c244-4372-9ec2-aad147b634b9,2025-12-30,system,False
ed8d9e34-7202-40cf-8c02-6957d6b145a9,e90c7b85-e8b8-4055-8c01-8ce70e5e1a11,2025-05-08,garzaanthony_7012,False
2141b0a3-e208-4711-bc7e-1864a489c56c,fd8086c7-1cda-4a37-9ac1-a5e44682a9a1,2025-04-21,fwalters_8719,True
